,Name,Email,Telefon,Links
43,Karusellen barnehage,karusellenbhg.com, 55 20 13 27,https://www.bergen.kommune.no//omkommunen/avdelinger/karusellen-barnehage
44,Kjøkkelvik barnehage,kjokkelvik@laringsverkstedet.no, 55 50 91 40,https://www.bergen.kommune.no//omkommunen/avdelinger/kjokkelvik-barnehage
45,Klosteret barnehage,klosteret.barnehage@bergen.kommune.no, 55562940,https://www.bergen.kommune.no//omkommunen/avdelinger/klosteret-barnehage
46,Kristianborg barnehage,None, 40804929,https://www.bergen.kommune.no//omkommunen/avdelinger/kristianborg-barnehage
47,Kronen barnehage,styrerbarnehage.no, 55 29 91 67,https://www.bergen.kommune.no//omkommunen/avdelinger/kronen-barnehage
48,Laksevåg barnehage,None, 53034480,https://www.bergen.kommune.no//omkommunen/avdelinger/laksevag-barnehage
49,Langerinden barnehage,None, 53034490,https://www.bergen.kommune.no//omkommunen/avdelinger/langerinden-barnehage
50,Leaparken barnehage,None, 53031960,https://www.bergen.kommune.no//omkommunen/avdelinger/leaparken-barnehage
51,Lekefabrikken barnehage,post@lekefabrikken.no, 55 29 41 99,https://www.bergen.kommune.no//omkommunen/avdelinger/lekefabrikken-barnehage
52,Liakroken barnehage,None, 53034560,https://www.bergen.kommune.no//omkommunen/avdelinger/liakroken-barnehage
53,Liland barnehage,gro.eierbarnehage.no, 55 11 26 50 / 52,https://www.bergen.kommune.no//omkommunen/avdelinger/liland-barnehage
54,Lyngfaret barnehage,lyngfaret.barnehage@bergen.kommune.no, 53034570,https://www.bergen.kommune.no//omkommunen/avdelinger/lyngfaret-barnehage
55,Låven barnehage,laabarne@online.no, 55 27 04 96,https://www.bergen.kommune.no//omkommunen/avdelinger/laven-barnehage
56,Løbergstien barnehage,lobergstien.com, 55298910/95287224,https://www.bergen.kommune.no//omkommunen/avdelinger/lobergstien-barnehage
57,Løvstakken barnehage,lovstakkenbarnehage@live.no, 55 12 42 42,https://www.bergen.kommune.no//omkommunen/avdelinger/lovstakken-barnehage
58,Mannsverk barnehage,None, 53038975,https://www.bergen.kommune.no//omkommunen/avdelinger/mannsverk-barnehage
59,Marken barnehage,marken.barnehage@bergen.kommune.no, 55567355,https://www.bergen.kommune.no//omkommunen/avdelinger/marken-barnehage
60,Minde barnehage,None, 53034580,https://www.bergen.kommune.no//omkommunen/avdelinger/minde-barnehage
61,Minken barnehage,post@minkenbarnehage.no, 55169292,https://www.bergen.kommune.no//omkommunen/avdelinger/minken-barnehage
62,Morvikbotn barnehage,None, 53034590,https://www.bergen.kommune.no//omkommunen/avdelinger/morvikbotn-barnehage
63,Mulesvingen barnehage,None, 55567330/31,https://www.bergen.kommune.no//omkommunen/avdelinger/mulesvingen-barnehage
64,Myrholtet barnehage,None, 53034630,https://www.bergen.kommune.no//omkommunen/avdelinger/myrholtet-barnehage
65,Natlandsfjellet barnehage,None, 53034640,https://www.bergen.kommune.no//omkommunen/avdelinger/natlandsfjellet-barnehage
66,Naturbasen barnehage,naturbasenbarnehage.com, 53 00 95 95,https://www.bergen.kommune.no//omkommunen/avdelinger/naturbasen-barnehage
67,Nebbestølen barnehage,nebbestolen.barnehage@bergen.kommune.no, 55567730,https://www.bergen.kommune.no//omkommunen/avdelinger/nebbestolen-barnehage
68,Nerigard barnehage,nerigard.barnehage@sammen.no, 55 28 19 80,https://www.bergen.kommune.no//omkommunen/avdelinger/nerigard-barnehage
69,Nordås barnehage,None, 53034660,https://www.bergen.kommune.no//omkommunen/avdelinger/nordas-barnehage
70,Nordåsgrenda barnehage,nordasgrenda.barnehage@bkkfiber.no, 55 13 24 16,https://www.bergen.kommune.no//omkommunen/avdelinger/nordasgrenda-barnehage
71,Nordåstræet barnehage,nordaastraeet@barnehage.no, 55 13 49 07,https://www.bergen.kommune.no//omkommunen/avdelinger/nordastraet-barnehage
72,Nubben barnehage,styrernubben@bgds.no, 55 01 80 98,https://www.bergen.kommune.no//omkommunen/avdelinger/nubben-barnehage
73,Olsvikparken barnehage,None, 53034670,https://www.bergen.kommune.no//omkommunen/avdelinger/olsvikparken-barnehage
74,Oppigard barnehage,oppigard.barnehage@sammen.no, 55 28 20 21,https://www.bergen.kommune.no//omkommunen/avdelinger/oppigard-barnehage
75,Petedalsheia barnehage,petedalsheia.barnehage@bergen.kommune.no, 53034760,https://www.bergen.kommune.no//omkommunen/avdelinger/petedalsheia-barnehage
76,Rosetårnet barnehage,None, 55564350,https://www.bergen.kommune.no//omkommunen/avdelinger/rosetarnet-barnehage
77,Salhus barnehage,None, 53039150/51,https://www.bergen.kommune.no//omkommunen/avdelinger/salhus-barnehage
78,Sandalsbotn barnehage,None, 53034780,https://www.bergen.kommune.no//omkommunen/avdelinger/sandalsbotn-barnehage
79,Selegrend barnehage,postbarnehage.no, 91347462/46964117,https://www.bergen.kommune.no//omkommunen/avdelinger/selegrend-barnehage
80,Seljedalen barnehage,None, 53034850/97018700,https://www.bergen.kommune.no//omkommunen/avdelinger/seljedalen-barnehage
81,Senterhagen barnehage,senterhagen.as, 55123232,https://www.bergen.kommune.no//omkommunen/avdelinger/senterhagen-barnehage
82,Sjøsprøyten barnehage,kontor@sjosproytenbhg.no, 55518890/99094492,https://www.bergen.kommune.no//omkommunen/avdelinger/sjosproyten-barnehage
83,Skansemyren barnehage,skansemyrenbarnehage@bergen.kommune.no, 53036890,https://www.bergen.kommune.no//omkommunen/avdelinger/skansemyren-barnehage
84,Skjold barnehage,None, 53034860,https://www.bergen.kommune.no//omkommunen/avdelinger/skjold-barnehage
85,Skjoldtun barnehage,berit@skjoldtunbarnehage.no, 55 13 08 06,https://www.bergen.kommune.no//omkommunen/avdelinger/skjoldtun-barnehage
86,Skårungen barnehage,Skarungen.Barnehage@bergen.kommune.no, 53034870,https://www.bergen.kommune.no//omkommunen/avdelinger/skarungen-barnehage
87,Sletten barnehage,None, 53039250,https://www.bergen.kommune.no//omkommunen/avdelinger/sletten-barnehage
88,Solbakken barnehage,None, 53034890,https://www.bergen.kommune.no//omkommunen/avdelinger/solbakken-barnehage
89,Solheimslien barnehage,None, 53035050,https://www.bergen.kommune.no//omkommunen/avdelinger/solheimslien-barnehage
90,Sollien barnehage,None, 53035075,https://www.bergen.kommune.no//omkommunen/avdelinger/sollien-barnehage
91,Spiren barnehage,post.com, 55 12 28 73,https://www.bergen.kommune.no//omkommunen/avdelinger/spiren-barnehage
92,Starefossen barnehage,istaref.bhg.com, 55 96 11 05,https://www.bergen.kommune.no//omkommunen/avdelinger/starefossen-barnehage
93,Storetveit barnehage,None, 55568910,https://www.bergen.kommune.no//omkommunen/avdelinger/storetveit-barnehage
94,Straumsgrend barnehage,kontor@straumsgrendbhg.no, 55 12 06 60,https://www.bergen.kommune.no//omkommunen/avdelinger/straumsgrend-barnehage
95,Sæterdal barnehage,Saeterdalen.barnehage@bergen.kommune.no, 53039375,https://www.bergen.kommune.no//omkommunen/avdelinger/saterdal-barnehage
96,Tveitevannet barnehage,tobarn@online.no, 55 285460,https://www.bergen.kommune.no//omkommunen/avdelinger/tveitevannet-barnehage
97,Ulset barnehage,barn@frisurf.no, 55 18 10 30,https://www.bergen.kommune.no//omkommunen/avdelinger/ulset-barnehage
98,Ulsmåg barnehage,None, 53034950,https://www.bergen.kommune.no//omkommunen/avdelinger/ulsmag-barnehage
99,Unneland barnehage,post@unnelandbarnehage.no, 55 24 19 66,https://www.bergen.kommune.no//omkommunen/avdelinger/unneland-barnehage
100,Vadmyra barnehage,None, 53034970,https://www.bergen.kommune.no//omkommunen/avdelinger/vadmyra-barnehage
101,Valheim barnehage,None, 53036530/41561005,https://www.bergen.kommune.no//omkommunen/avdelinger/valheim-barnehage
102,Vallalia barnehage,None, 53034980,https://www.bergen.kommune.no//omkommunen/avdelinger/vallalia-barnehage
103,Vindharpen barnehage,postmaster@vindharpen.no, 55 52 27 70,https://www.bergen.kommune.no//omkommunen/avdelinger/vindharpen-barnehage
104,Våtun barnehage,post@vaatun.no, 55 12 37 73,https://www.bergen.kommune.no//omkommunen/avdelinger/vatun-barnehage
105,Øvrebø barnehage,None, 53035180/53035181,https://www.bergen.kommune.no//omkommunen/avdelinger/ovrebo-barnehage
106,Øyjorden barnehage,None, 53032070/71,https://www.bergen.kommune.no//omkommunen/avdelinger/oyjorden-barnehage
107,Akasia Domkirken barnehage,Domkirkenbarnehage@akasia.no, 55597845/92627066,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-domkirken-barnehage
108,Akasia Fana barnehage,Fanabarnehage@akasia.no, 55117080/98856844,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-fana-barnehage
109,Akasia Laksevåg kirkes barnehage,Laksevagkirkesbarnehage@akasia.no, 55597830/93049669,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-laksevag-kirkes-barnehage
110,Akasia Litlafjell barnehage,litlafjellbarnehage@akasia.no, 56113420/95139817,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-litlafjell-barnehage
111,Akasia Neshaugane barnehage,neshauganebarnehage@akasia.no, 55593990/ 90914169,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-neshaugane-barnehage
112,Akasia Nykirken barnehage,nykirkenbarnehage@akasia.no, 55597850/92206833,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-nykirken-barnehage
113,Akasia Paradis barnehage AS,Paradisbarnehage@akasia.no, 55913130/97582421,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-paradis-barnehage-as
114,Akasia Ramstad barnehage AS,rambhg@akasia.no, 55593980/97046440,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-ramstad-barnehage-as
115,Akasia Råtun barnehage,raatunbarnehage@akasia.no, 55110940/41807894,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-ratun-barnehage
116,Akasia Sandviken menighet barnehage,Sandvikenmenighetsbhg@akasia.no, 55597835/92627066,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-sandviken-menighet-barnehage
117,Akasia Skranesvingen barnehage,skranesvingenbarnehage@akasia.no, 55987030/95028274,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-skranesvingen-barnehage
118,Akasia Sædalen barnehage AS,saedalenbarnehage@akasia.no, 55926400/97422084,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-sadalen-barnehage-as
119,Akrobaten barnehage AS,akrobaten.barnehage.com, 55 11 42 40,https://www.bergen.kommune.no//omkommunen/avdelinger/akrobaten-barnehage-as
120,Bergen Barnehage AS,jesoren.com, 55 234629,https://www.bergen.kommune.no//omkommunen/avdelinger/bergen-barnehage-as
121,Birken barnehage AS,birkenbhg.com, 55 29 14 20,https://www.bergen.kommune.no//omkommunen/avdelinger/birken-barnehage-as
122,Biskopshavn barnehage SA,post@biskopshavnbarnehage.no, 55 25 78 89,https://www.bergen.kommune.no//omkommunen/avdelinger/biskopshavn-barnehage-sa
123,Bønes menighets barnehage,bmbarnehage.com, 55 12 05 50,https://www.bergen.kommune.no//omkommunen/avdelinger/bones-menighets-barnehage
124,Cultiva barnehage AS,barnehagekontoret.com, 55511210/48267043,https://www.bergen.kommune.no//omkommunen/avdelinger/cultiva-barnehage-as
125,Damsgård Kanvas-Barnehage,damsgaard@kanvas.no, 95223748,https://www.bergen.kommune.no//omkommunen/avdelinger/damsgard-kanvas-barnehage
126,Espira Eventyrskogen barnehage,styrer@eventyrskogen.espira.no, 55 50 06 10,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-eventyrskogen-barnehage
127,Espira Grønnestølen barnehage,styrer@gronnestolen.espira.no, 453 91 503,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-gronnestolen-barnehage
128,Espira Helldalsåsen barnehage,styrer@helldalsasen.espira.no, 55 11 03 80,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-helldalsasen-barnehage
129,Espira Rambjøra barnehage,styrer.rambjora@espira.no, 55279900,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-rambjora-barnehage
130,Espira Rå barnehage,styrerass.ra@espira.no, 55107110/12,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-ra-barnehage
131,Espira Solknatten barnehage,styrer@solknatten.espira.no, 55 92 63 20,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-solknatten-barnehage
132,Espira Steinsviken barnehage,styrer.steinsviken@espira.no, 55 10 22 22,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-steinsviken-barnehage
133,Espira Ulsetskogen barnehage,ulsetskogen@espira.no, 55253110/46637281,https://www.bergen.kommune.no//omkommunen/avdelinger/espira-ulsetskogen-barnehage
134,Eventus Birk barnehage,birk@eventusbarnehage.no, 980 08 750,https://www.bergen.kommune.no//omkommunen/avdelinger/eventus-birk-barnehage
135,Eventus Eventyrdalen barnehage AS,Eventyr@eventusbarnehage.no, 55 22 86 61,https://www.bergen.kommune.no//omkommunen/avdelinger/eventus-eventyrdalen-barnehage-as
136,Eventus Kvernslåtten barnehage AS,kvernslaatten@eventusbarnehage.no, 928 28 333,https://www.bergen.kommune.no//omkommunen/avdelinger/eventus-kvernslatten-barnehage-as
137,Eventus Midtun Barnehage AS,midtun@eventusbarnehage.no, 55014658/95992323,https://www.bergen.kommune.no//omkommunen/avdelinger/eventus-midtun-barnehage-as
138,Eventus Tiriltoppen barnehage AS,Tiril@eventusbarnehage.no, 55137770/98008750,https://www.bergen.kommune.no//omkommunen/avdelinger/eventus-tiriltoppen-barnehage-as
139,Fantoft Gård barnehage,fantoftgard.barnehage@sammen.no, 90814857 /92451167,https://www.bergen.kommune.no//omkommunen/avdelinger/fantoft-gard-barnehage
140,Gimle oppveksttun - barnehage,None, 55567760,https://www.bergen.kommune.no//omkommunen/avdelinger/gimle-oppveksttun-barnehage
141,Hop oppveksttun barnehage,Hopoppveksttun.barnehage@bergen.kommune.no, 53037830,https://www.bergen.kommune.no//omkommunen/avdelinger/hop-oppveksttun-barnehage
142,Indre Arna barnehage,None, 53035590,https://www.bergen.kommune.no//omkommunen/avdelinger/indre-arna-barnehage
143,KLEM barnehage AS,postmaster@klembarnehage.no, 40645592/ 94253883,https://www.bergen.kommune.no//omkommunen/avdelinger/klem-barnehage-as
144,Kniksens plass barnehage,None, 55567680,https://www.bergen.kommune.no//omkommunen/avdelinger/kniksens-plass-barnehage
145,Lyshovden oppveksttun - barnehage,None, 53039020,https://www.bergen.kommune.no//omkommunen/avdelinger/lyshovden-oppveksttun-barnehage
146,Læringsverkstedet barnehage avd Blomsterdalen,blomsterdalen@laringsverkstedet.no, 997 16 870,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-blomsterdalen
147,Læringsverkstedet barnehage Avd Helgatun,helgatun@laringsverkstedet.no, 55 13 12 28,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-helgatun
148,Læringsverkstedet barnehage Avd Kanutten,kanutten@laringsverkstedet.no, 934 34 772,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-kanutten
149,Læringsverkstedet barnehage Avd Krokusbakken,krokusbakken@laringsverkstedet.no, 37071504,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-krokusbakken
150,Læringsverkstedet barnehage Avd Kvernabekken,kvernabekken@laringsverkstedet.no, 911 64 121,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-kvernabekken
151,Læringsverkstedet barnehage Midtunbråtet,midtunbratet@laringsverkstedet.no, 979 97 251,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-midtunbratet
152,Læringsverkstedet Søreidtunet barnehage,soreidtunet@laringsverkstedet.no, 55529890/93658142,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-soreidtunet-barnehage
153,Løvås oppveksttun - barnehage,None, 53032710,https://www.bergen.kommune.no//omkommunen/avdelinger/lovas-oppveksttun-barnehage
154,Marineholmen barnehage drift AS,Postmaster@marineholmenbhg.no, 904 08 604,https://www.bergen.kommune.no//omkommunen/avdelinger/marineholmen-barnehage-drift-as
155,Mathopen Barnehage AS,post@mathopenbhg.no, 55264815/91636717,https://www.bergen.kommune.no//omkommunen/avdelinger/mathopen-barnehage-as
156,Møhlenpris oppveksttun barnehage,None, 53037857,https://www.bergen.kommune.no//omkommunen/avdelinger/mohlenpris-oppveksttun-barnehage
157,Nattland oppveksttun barnehage,None, 53030607,https://www.bergen.kommune.no//omkommunen/avdelinger/nattland-oppveksttun-barnehage
158,Nesttun Indremisjons barnehage,nesttun.barnehage@indrem.no, 55 10 07 24,https://www.bergen.kommune.no//omkommunen/avdelinger/nesttun-indremisjons-barnehage
159,Norlandia Capella barnehage,capella.bhg@norlandiabarnehagene.no, 406 99 540,https://www.bergen.kommune.no//omkommunen/avdelinger/norlandia-capella-barnehage
160,Prismen Kanvas-barnehage,prismen@kanvas.no, 406 34 949,https://www.bergen.kommune.no//omkommunen/avdelinger/prismen-kanvas-barnehage
161,Rolland-Ulsetåsen barnehage,None, 53034770/53039475,https://www.bergen.kommune.no//omkommunen/avdelinger/rolland-ulsetasen-barnehage
162,Sandslimarka Kanvas-barnehage,sandslimarka@kanvas.no, 930 85 666,https://www.bergen.kommune.no//omkommunen/avdelinger/sandslimarka-kanvas-barnehage
163,Sion menighets barnehage,barnehage.com, 55 990287,https://www.bergen.kommune.no//omkommunen/avdelinger/sion-menighets-barnehage
164,Slettebakken menighets barnehage AS,slettebakkenmenighetsbarnehage.com, 48603106/45053106,https://www.bergen.kommune.no//omkommunen/avdelinger/slettebakken-menighets-barnehage-as
165,Solsikken Barnehage Skeie AS,styrer@solsikkenbarnehage.no, 55990723/91130875,https://www.bergen.kommune.no//omkommunen/avdelinger/solsikken-barnehage-skeie-as
166,Sælen oppveksttun barnehage,None, 53037580,https://www.bergen.kommune.no//omkommunen/avdelinger/salen-oppveksttun-barnehage
167,Søre skogvei barnehage,None, 53034930,https://www.bergen.kommune.no//omkommunen/avdelinger/sore-skogvei-barnehage
168,Tertnesparken barnehage AS,administrasjon@tertnesparken.no, 55 19 58 40,https://www.bergen.kommune.no//omkommunen/avdelinger/tertnesparken-barnehage-as
169,Trengereid oppveksttun avd. barnehage,None, 40923730,https://www.bergen.kommune.no//omkommunen/avdelinger/trengereid-oppveksttun-avd-barnehage
170,Våkleivbrotet Kanvas-barnehage,vaakleivbrotet@kanvas.no, 406 30 371,https://www.bergen.kommune.no//omkommunen/avdelinger/vakleivbrotet-kanvas-barnehage
171,Ytre Arna barnehage,None, 53039575,https://www.bergen.kommune.no//omkommunen/avdelinger/ytre-arna-barnehage
172,Årstad Brannstasjon barnehage,arstad.brannstasjon.barnehage@bergen.kommune.no, 55562424/20,https://www.bergen.kommune.no//omkommunen/avdelinger/arstad-brannstasjon-barnehage
173,Østre Nattlandsfjellet barnehage,dagligleder@onbhg.no, 55 28 69 50 /51,https://www.bergen.kommune.no//omkommunen/avdelinger/ostre-nattlandsfjellet-barnehage
174,Akasia Arna kyrkjelyd sin barnehage,arnakyrkjelydbhg@akasia.no, 55597816 / 9502827,https://www.bergen.kommune.no//omkommunen/avdelinger/akasia-arna-kyrkjelyd-sin-barnehage
175,Helse Bergen Hf Hunstad barnehage,hunstad.barnehagebergen.no, 55 97 49 42,https://www.bergen.kommune.no//omkommunen/avdelinger/helse-bergen-hf-hunstad-barnehage
176,Helse Bergen Hf Ravnebjerget barnehage,ravnebjerget.barnehagebergen.no, 55 97 49 44,https://www.bergen.kommune.no//omkommunen/avdelinger/helse-bergen-hf-ravnebjerget-barnehage
177,Helse Bergen Hf Vinterdalen barnehage,vinterdalen.barnehagebergen.no, 55 95 85 63,https://www.bergen.kommune.no//omkommunen/avdelinger/helse-bergen-hf-vinterdalen-barnehage
178,Helse Bergen Hf Vognstølen barnehage,vognstolen.barnehagebergen.no, 55 97 49 48,https://www.bergen.kommune.no//omkommunen/avdelinger/helse-bergen-hf-vognstolen-barnehage
179,Lekeklossen barnehage AS Avd Løvåsen,styrer@lekeklossen.no, 90278722/55169092,https://www.bergen.kommune.no//omkommunen/avdelinger/lekeklossen-barnehage-as-avd-lovasen
180,Ny-Krohnborg - avdeling barnehage,NyKrohnborg.Barnehage@bergen.kommune.no, 53033091,https://www.bergen.kommune.no//omkommunen/avdelinger/ny-krohnborg-avdeling-barnehage
181,Den internasjonale barnehage i Bergen Avd Laksevåg,internasjonale.barnehage.com, 55 34 21 10,https://www.bergen.kommune.no//omkommunen/avdelinger/den-internasjonale-barnehage-i-bergen-avd-laksevag
182,Den internasjonale barnehage i Bergen Avd Sollien,intbarn@broadpark.no, 55 27 06 42,https://www.bergen.kommune.no//omkommunen/avdelinger/den-internasjonale-barnehage-i-bergen-avd-sollien
183,International School Of Bergen Avd barnehage,post@isob.no, 55 30 63 30,https://www.bergen.kommune.no//omkommunen/avdelinger/international-school-of-bergen-avd-barnehage
184,Læringsverkstedet barnehage Avd Fana Gårds og Filuftsbhg,fana@laringsverkstedet.no, 55529100,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-fana-gards-og-filuftsbhg
185,Læringsverkstedet barnehage Avd Åsane Gårds og Friluftsbhg,asane@laringsverkstedet.no, 55183200/47415420,https://www.bergen.kommune.no//omkommunen/avdelinger/laringsverkstedet-barnehage-avd-asane-gards-og-friluftsbhg
